Designator,Mid X,Mid Y,Rotation,Layer
A1,303.355,-75.29,0.0,top
D1,41.43375,-61.0675,90.0,bottom
D10,212.88375,-61.0675,90.0,bottom
D11,231.93375,-61.0675,90.0,bottom
D12,250.98375,-61.0675,90.0,bottom
D13,270.03375,-61.0675,90.0,bottom
D14,289.08375,-61.0675,90.0,bottom
D15,336.70875,-61.0675,90.0,bottom
D16,354.7,-61.96,90.0,bottom
D17,41.43375,-80.1175,90.0,bottom
D18,60.48375,-80.1175,90.0,bottom
D19,79.53375,-80.1175,90.0,bottom
D2,60.48375,-61.0675,90.0,bottom
D20,98.58375,-80.1175,90.0,bottom
D21,117.63375,-80.1175,90.0,bottom
D22,136.68375,-80.1175,90.0,bottom
D23,155.73375,-80.1175,90.0,bottom
D24,174.625,-80.1175,90.0,bottom
D25,193.83375,-80.1175,90.0,bottom
D26,212.88375,-80.1175,90.0,bottom
D27,231.93375,-80.1175,90.0,bottom
D28,250.98375,-80.1175,90.0,bottom
D29,270.03375,-80.1175,90.0,bottom
D3,79.53375,-61.0675,90.0,bottom
D30,289.08375,-80.1175,90.0,bottom
D31,336.70875,-80.1175,90.0,bottom
D32,354.7,-81.01,90.0,bottom
D33,41.43375,-99.1675,90.0,bottom
D34,60.48375,-99.1675,90.0,bottom
D35,79.53375,-99.1675,90.0,bottom
D36,98.58375,-99.1675,90.0,bottom
D37,117.63375,-99.1675,90.0,bottom
D38,136.68375,-99.1675,90.0,bottom
D39,155.73375,-99.1675,90.0,bottom
D4,98.58375,-61.0675,90.0,bottom
D40,174.625,-99.1675,90.0,bottom
D41,193.83375,-99.1675,90.0,bottom
D42,212.88375,-99.1675,90.0,bottom
D43,231.93375,-99.1675,90.0,bottom
D44,250.98375,-99.1675,90.0,bottom
D45,270.03375,-99.1675,90.0,bottom
D46,289.08375,-99.1675,90.0,bottom
D47,336.70875,-99.1675,90.0,bottom
D48,354.7,-100.06,90.0,bottom
D49,41.43375,-118.2175,90.0,bottom
D5,117.63375,-61.0675,90.0,bottom
D50,60.48375,-118.2175,90.0,bottom
D51,79.53375,-118.2175,90.0,bottom
D52,98.58375,-118.2175,90.0,bottom
D53,117.63375,-118.2175,90.0,bottom
D54,136.68375,-118.2175,90.0,bottom
D55,155.73375,-118.2175,90.0,bottom
D56,174.625,-118.2175,90.0,bottom
D57,193.83375,-118.2175,90.0,bottom
D58,212.88375,-118.2175,90.0,bottom
D59,231.93375,-118.2175,90.0,bottom
D6,136.68375,-61.0675,90.0,bottom
D60,250.98375,-118.2175,90.0,bottom
D61,270.03375,-118.2175,90.0,bottom
D62,289.08375,-118.2175,90.0,bottom
D63,41.43375,-137.2675,90.0,bottom
